brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years
Tesla,Model 3,2026,Base,80808.44,42.4,154,231.2,6.51,147,522,481,RWD,7,Coupe,39,1500,5,2,US,Premium,234368,3.52,5
Fisker,Ronin,2024,Long Range,115878.52,94.5,334,67.6,5.43,166,983,908,AWD,7,Truck,75.5,2039,4,1,US,Luxury,6077,3.64,5
Toyota,bZ Compact SUV,2024,Long Range,64461.76,85.4,288,86.3,4.5,180,774,731,FWD,7,SUV,64.4,2334,4,2,Japan,Mid-range,1214,3.76,4
Mercedes,EQG,2023,Performance,181026.58,110.6,370,212.6,2.8,200,1000,801,FWD,5,Truck,79.1,2572,4,1,Germany,Luxury,35248,3.91,8
Mercedes,GLE EV,2023,Long Range,182443.72,104.6,359,140.1,5.11,174,1000,903,RWD,7,Sedan,35.4,1500,4,2,Germany,Luxury,20765,4.1,8
BYD,Atto 3,2022,Performance,38276.48,92,283,217.9,3.34,199,395,370,RWD,5,Van,73.9,1520,4,1,China,Mid-range,175542,3.44,5
Tesla,Cybertruck,2025,Performance,116077.71,118.6,428,233.8,3.86,189,859,763,FWD,5,Truck,56.7,2613,5,2,US,Luxury,150657,4.24,5
NIO,EL8,2025,Premium,87478.76,48.6,172,148.9,5.5,164,804,708,RWD,7,SUV,52.5,2018,4,1,China,Premium,16505,3.43,3
GM/Chevrolet,Bolt EUV,2025,Long Range,68470.14,87.2,293,84.2,5.66,157,950,828,AWD,7,Van,74.1,1500,4,2,US,Premium,14899,3.33,4
Tesla,Model S,2023,Premium,76607.64,81.1,288,315.7,7.64,137,556,538,AWD,7,Van,69.5,1617,3,3,US,Premium,244244,3.81,4
Tesla,Model Y,2025,Premium,83799.48,74.6,276,279.2,6.55,153,644,594,RWD,5,Truck,55.2,2793,5,2,US,Premium,427228,4.15,4
Hyundai,Ioniq,2024,Base,50276.57,73.2,241,96.2,7.53,138,521,483,RWD,5,Van,72.9,1533,3,1,South Korea,Mid-range,126203,3.42,4
Audi,e-tron GT,2022,Premium,98374.44,50.7,166,145.4,5.67,164,699,652,RWD,5,Truck,55.3,2533,5,1,Germany,Premium,45293,3.1,7
Volkswagen,ID.4,2021,Premium,107417.79,54.2,201,75.7,5.06,176,1000,872,AWD,5,Hatchback,30.6,1514,5,2,Germany,Luxury,254098,3.37,4
Mercedes,EQC,2024,Long Range,169395.24,99.7,323,138.5,5.15,172,1000,874,RWD,5,Truck,59.3,2679,3,2,Germany,Luxury,60151,3.87,7
Audi,e-tron GT,2021,Base,80311.97,74.6,241,114.4,5.32,157,510,457,AWD,5,Sedan,21.5,1509,5,2,Germany,Premium,55803,3.52,6
BMW,i7,2025,Premium,150512.16,44.6,150,132.1,5.28,170,1000,905,RWD,7,Hatchback,20.5,1765,4,2,Germany,Luxury,47379,3.31,8
GM/Chevrolet,Bolt EUV,2023,Performance,74889.56,92.7,312,151.1,4.05,193,994,937,RWD,7,Coupe,17.5,1704,4,2,US,Premium,29402,3.57,3
Audi,Q6 e-tron,2020,Long Range,76665.86,103.7,353,63,5.43,165,449,388,AWD,5,Hatchback,29.6,1563,4,1,Germany,Premium,32828,3.4,5
BYD,Dolphin,2025,Base,42876.18,78.3,263,87.3,5.69,161,415,379,FWD,7,SUV,41.7,2370,5,2,China,Mid-range,158327,3.29,3
Volkswagen,ID. Buzz,2026,Standard,43538.73,62.3,231,100,5.92,165,299,249,RWD,5,Van,70.6,1732,4,1,Germany,Mid-range,228329,3.2,3
Tesla,Cybertruck,2023,Base,104581.09,50.5,185,345.6,6.12,165,743,674,FWD,7,Truck,66.2,2370,5,2,US,Luxury,156090,3.54,6
Tesla,Model S,2022,Premium,59089.35,76.7,268,244.8,6.91,153,380,319,RWD,5,Sedan,36.7,1500,5,2,US,Mid-range,130707,3.64,5
BYD,Max,2024,Base,36467.37,45,150,140.9,5.31,169,406,327,RWD,5,Coupe,24,1558,4,1,China,Mid-range,220450,3.22,4
Kia,EV6,2025,Base,74609.83,44.7,153,82.8,5.63,165,763,677,RWD,5,Truck,50.4,2255,5,1,South Korea,Premium,84247,3.42,3
Tesla,Cybertruck,2025,Base,87113.04,47.4,150,233.9,5.08,176,649,602,RWD,5,Truck,77.1,2639,4,2,US,Premium,217680,3.55,4
Tesla,Cybertruck,2025,Performance,166572.78,117.8,398,203,3.46,200,1000,903,AWD,5,Truck,72.9,2600,5,2,US,Luxury,229037,4.35,6
Mercedes,GLE EV,2024,Base,116775.93,78.6,259,119.6,5.62,166,633,567,RWD,5,Hatchback,29,1558,4,1,Germany,Luxury,43904,3.6,6
Tesla,Model S,2023,Base,56750.25,40.5,163,297.6,7.9,136,387,382,AWD,5,Van,72.2,1500,4,2,US,Mid-range,175034,3.89,4
Hyundai,Kona Electric,2024,Premium,75053.58,43,154,117.1,7.11,150,943,794,RWD,7,Truck,72.4,2127,4,1,South Korea,Premium,86699,3.36,4
Ford,E-Transit,2025,Standard,49970.16,77.5,267,56.6,5,181,406,375,RWD,7,Truck,54,2803,4,1,US,Mid-range,35218,3.57,3
BYD,Max,2024,Standard,39727.71,45.3,154,108.8,5.19,170,400,312,AWD,7,Van,74.9,1609,4,1,China,Mid-range,139199,3.11,5
BMW,i4,2025,Base,85729.44,59.9,191,145.7,5.99,168,651,567,RWD,5,Truck,68.3,2688,5,2,Germany,Premium,29338,3.48,6
Tesla,Cybertruck,2023,Base,62213.09,54.2,191,341.2,7.6,136,404,327,FWD,5,Truck,50.7,2531,5,3,US,Mid-range,199768,3.77,5
Tesla,Cybertruck,2022,Performance,170128.32,84.4,303,306.9,3.88,186,1000,875,RWD,7,Truck,63.7,2467,4,2,US,Luxury,163960,4.09,5
Hyundai,Ioniq 5,2024,Premium,80948.92,68.6,262,104.1,5.97,162,1000,898,FWD,7,Van,77.2,1500,5,1,South Korea,Premium,134570,3.64,3
BMW,i3,2023,Long Range,134039.99,84.4,313,79.4,4.43,177,1000,874,AWD,5,Sedan,26.8,1652,5,2,Germany,Luxury,70841,3.71,5
Hyundai,i30,2023,Long Range,65970,108.1,394,85.8,4.76,179,835,684,FWD,5,Coupe,38.2,1500,5,1,South Korea,Premium,146072,4.09,4
BYD,Leaf 50X,2024,Base,56388.91,73.7,242,113.8,6.52,156,632,585,RWD,7,Sedan,15.8,1666,5,1,China,Mid-range,205113,3.4,4
Tesla,Cybertruck,2024,Base,37365.06,44.7,150,237.7,5.52,169,223,200,AWD,5,Truck,50.6,2555,5,2,US,Mid-range,220616,3.81,5
Tesla,Cybertruck,2023,Base,38622.29,51.5,186,261.7,7.84,124,276,226,FWD,5,Truck,75.7,2714,5,2,US,Mid-range,174372,3.4,5
Toyota,bZ4X,2022,Standard,69982.49,42.6,156,93.7,6.21,153,850,731,AWD,5,Truck,64.8,2317,5,1,Japan,Premium,8818,3.15,3
Mercedes,EQE,2021,Performance,165233.4,100.3,329,158.6,4.02,194,1000,842,AWD,7,Van,62.5,1751,4,1,Germany,Luxury,35726,3.78,6
Tesla,Model Y,2020,Long Range,96390.76,80.4,287,340,5.88,160,697,653,FWD,5,Van,74,1505,4,3,US,Premium,498047,3.82,5
Tesla,Model X,2023,Base,27433.3,82.4,258,223.7,6.02,161,168,200,FWD,7,Coupe,30.7,1644,5,3,US,Budget,230869,3.79,4
BYD,Leaf 50X,2024,Base,76472.57,67.2,227,136.2,7.52,139,849,830,RWD,5,Van,63.3,1500,4,1,China,Premium,191416,3.33,4
Kia,Picanto EV,2025,Base,41416.02,60.8,228,142.9,5.91,160,367,344,RWD,5,Hatchback,22,1500,5,1,South Korea,Mid-range,137512,3.35,3
BMW,i3,2025,Performance,97630.54,108,374,211.2,3.25,200,810,745,RWD,5,Truck,57.6,2381,4,1,Germany,Premium,50895,3.63,5
GM/Chevrolet,Bolt EV,2025,Performance,53614.17,77.3,266,153,3.29,192,663,599,FWD,7,Truck,51.2,2645,5,2,US,Mid-range,7236,3.24,3
Kia,Niro EV,2026,Premium,98299.99,73.4,245,132.5,5.83,165,1000,918,RWD,5,Coupe,25.6,1500,5,1,South Korea,Premium,126328,3.5,4
Volkswagen,ID. Buzz,2025,Performance,57462.19,76.2,259,243.1,4.1,183,541,402,AWD,7,Hatchback,28.5,1500,4,1,Germany,Mid-range,298599,3.42,5
BYD,Dolphin,2023,Premium,65383.31,69.6,240,146.2,6.25,161,763,709,RWD,5,Coupe,32.2,1500,5,1,China,Premium,171261,3.56,4
Volkswagen,ID.3,2025,Performance,88158.61,99.8,333,200.8,2.63,200,1000,916,AWD,7,Hatchback,27.4,1591,5,1,Germany,Premium,265949,3.68,4
GM/Chevrolet,Bolt EV,2022,Long Range,49443.87,82.7,262,103.5,4.7,179,556,481,FWD,5,Van,61.5,1500,4,1,US,Mid-range,17112,3.4,3
Tesla,Model 3,2023,Base,33304.79,70.4,262,309.3,5,180,235,266,RWD,5,Van,77.5,1500,4,3,US,Budget,239021,3.85,5
Tesla,Cybertruck,2025,Base,29689.54,58.1,216,327,5.38,170,191,200,FWD,5,Truck,77,2468,5,2,US,Budget,210522,3.78,5
Tesla,Model S,2025,Long Range,129183.24,87.9,337,250.2,5.39,169,976,910,FWD,7,Hatchback,19.7,1638,5,2,US,Luxury,207546,3.74,6
Tesla,Cybertruck,2025,Long Range,132226.95,87.5,319,265.2,4.66,176,983,865,RWD,5,Truck,78.7,2287,5,3,US,Luxury,133735,3.85,4
Mercedes,EQE,2026,Base,59152.02,43.6,162,122.2,5.26,170,157,200,FWD,7,SUV,56.9,2444,4,2,Germany,Mid-range,57795,3.37,5
GM/Chevrolet,Equinox EV,2026,Performance,42539.36,109.6,371,156.4,2.86,200,438,442,RWD,5,SUV,44.4,2235,5,2,US,Mid-range,18263,3.65,4
Hyundai,Ioniq 5,2026,Premium,86930.64,49.4,177,92.9,5.55,171,1000,867,RWD,7,Sedan,26,1500,4,1,South Korea,Premium,147601,3.5,4
Tesla,Model S,2025,Premium,162032.44,61.2,193,290.6,7.64,132,1000,851,AWD,5,Sedan,22.4,1618,5,2,US,Luxury,210253,3.9,4
Hyundai,Kona Electric,2025,Premium,51036.86,52.8,234,130.6,7.37,142,584,538,AWD,5,Coupe,34.4,2027,5,2,South Korea,Mid-range,55671,3.38,3
Hyundai,Kona Electric,2024,Base,52223.31,42.1,150,116.5,6.02,161,566,488,RWD,5,Van,65.7,1635,4,1,South Korea,Mid-range,89573,3.43,3
Tesla,Model S,2025,Base,54018.19,40.6,150,208.1,6.79,145,379,325,AWD,5,Coupe,37.4,1787,4,3,US,Mid-range,101221,3.6,4
Volkswagen,ID. Buzz,2026,Standard,39803.56,46.8,168,78.3,6.31,156,274,241,FWD,7,Truck,69.9,2758,3,1,Germany,Mid-range,248701,3.08,5
Kia,EV9,2025,Premium,103512.45,63,213,119,7.65,124,1000,919,AWD,5,SUV,45.2,2221,5,1,South Korea,Luxury,50563,3.44,3
BMW,i5,2024,Performance,76696.39,87.4,313,196.4,3.49,192,523,468,AWD,5,SUV,68.3,2006,5,1,Germany,Premium,21525,3.69,5
Tesla,Model S,2023,Long Range,98608.05,77.7,286,228.4,4.94,183,718,700,FWD,5,Hatchback,39.2,1521,4,2,US,Premium,246839,3.98,4
BMW,i4,2026,Standard,72989.13,82,298,77.5,6.52,146,467,428,RWD,5,Hatchback,28.4,1500,5,2,Germany,Premium,49770,3.42,8
Hyundai,Ioniq 6,2025,Standard,39399.56,70.9,268,65.8,5.76,159,293,234,AWD,5,SUV,63.1,1935,4,1,South Korea,Mid-range,101021,3.33,3
Mercedes,EQS,2024,Premium,99625.48,81.2,306,72.8,6.47,153,534,467,AWD,5,SUV,65.1,1569,4,2,Germany,Premium,71016,3.79,7
BMW,i7,2025,Performance,113646.11,73.6,279,188.6,3.16,199,1000,908,AWD,5,Truck,75.3,2275,5,1,Germany,Luxury,68048,3.7,8
Tesla,Model Y,2024,Standard,110939.31,48.7,160,276.2,5.49,169,840,747,RWD,5,Coupe,22.2,1526,4,2,US,Luxury,456268,3.43,6
Tesla,Model X,2026,Long Range,142726.14,94.6,318,205.9,4.61,176,1000,871,RWD,5,Coupe,32.1,1500,4,2,US,Luxury,176985,4.23,5
BMW,i3,2024,Premium,69442.01,54.1,193,95.1,5.86,169,383,299,RWD,7,Van,73.2,1764,4,2,Germany,Premium,51378,3.2,5
Tesla,Model 3,2025,Base,42979.12,62.8,229,275.3,7.9,133,252,227,AWD,7,SUV,51.8,1730,4,2,US,Mid-range,207769,3.71,5
Volkswagen,ID.5,2025,Performance,97402.81,71.7,258,153.8,3.48,200,1000,912,RWD,5,Truck,77.9,2374,4,1,Germany,Premium,255988,3.58,4
BMW,i7,2025,Standard,85706.08,45.1,150,127.7,7.87,135,650,634,FWD,5,Hatchback,31.2,1703,4,2,Germany,Premium,78799,3.26,8
Hyundai,Ioniq 6,2024,Base,54234.95,58.4,217,131.1,7.58,132,577,530,FWD,7,Truck,50.2,2843,5,2,South Korea,Mid-range,136935,3.41,4
Kia,Picanto EV,2023,Premium,95598.48,63.5,202,141.1,5.52,166,1000,845,AWD,5,SUV,44.2,1516,5,1,South Korea,Premium,107457,3.32,5
Volkswagen,ID.3,2025,Performance,58313.43,71.5,260,159.7,3.71,193,583,522,AWD,5,Truck,77.2,2583,3,1,Germany,Mid-range,263694,3.21,3
Audi,e-tron,2025,Standard,91038.75,55.9,192,81.8,7.17,149,636,591,RWD,7,Truck,64.5,2402,5,2,Germany,Premium,26577,3.76,7
Tesla,Cybertruck,2024,Standard,130803.06,83.1,289,227.9,6.46,150,914,861,FWD,5,Truck,77.3,2533,4,2,US,Luxury,105012,4.03,6
Tesla,Model 3,2025,Base,69626.26,76.8,249,256,6,158,502,416,FWD,7,Sedan,38.5,1522,5,3,US,Premium,189686,3.74,5
Tesla,Model Y,2024,Long Range,85409.4,94.6,338,290.6,5.5,167,614,573,AWD,5,Sedan,22,1500,4,2,US,Premium,497556,4.06,5
Tesla,Model 3,2026,Long Range,153057.04,85.2,285,338.3,4.28,186,1000,855,RWD,7,Coupe,15,1574,5,2,US,Luxury,178740,4.06,5
Tesla,Cybertruck,2023,Standard,121896.5,64.2,216,291.3,7.11,145,841,748,RWD,7,Truck,77,2332,5,2,US,Luxury,186743,3.62,4
BMW,i7,2025,Base,66273.55,72.4,246,51.7,6.85,154,327,326,FWD,5,Truck,74.8,2768,5,1,Germany,Premium,30088,3.19,8
Tesla,Model Y,2024,Base,43315.76,61.7,224,301.3,6.9,136,360,277,AWD,5,Sedan,17.4,1500,5,2,US,Mid-range,424937,3.73,6
BYD,Atto 3,2022,Premium,36072.31,77.7,251,60.8,6.32,154,365,296,RWD,7,Van,71.3,1527,4,2,China,Mid-range,159638,3.48,4
Mercedes,GLE EV,2025,Base,127213.62,61.6,214,99.5,6.47,146,697,636,FWD,5,Sedan,35.8,1918,4,1,Germany,Luxury,74928,3.82,5
Tesla,Model X,2024,Standard,79315.78,60.6,195,277,5.73,164,551,541,FWD,7,Truck,62.3,2173,5,2,US,Premium,122128,3.66,4
Ford,Explorer EV,2023,Base,35481.88,41,173,58.6,6.38,155,202,205,RWD,5,Hatchback,36.3,1677,5,1,US,Mid-range,63701,3.25,4
Tesla,Model S,2025,Long Range,137829.03,95.3,323,324.7,4.55,187,966,876,FWD,5,Van,70.2,1656,3,3,US,Luxury,239713,3.88,5
GM/Chevrolet,Silverado EV,2025,Standard,70239.01,40.5,150,137.3,5.25,184,989,925,FWD,7,Van,61.8,1577,5,1,US,Premium,23483,3.13,4
BMW,i4,2026,Standard,90499.68,42.2,167,108.5,7.99,132,739,656,FWD,7,Coupe,19.1,1618,3,2,Germany,Premium,72987,3.29,7
Audi,e-tron,2024,Long Range,130131.59,94,322,123.8,5.61,163,1000,858,AWD,7,Sedan,37.7,1642,4,2,Germany,Luxury,36875,3.63,8
BYD,Leaf 50X,2023,Long Range,100157.25,105.4,362,110.2,5.21,177,1000,892,FWD,5,Truck,67.7,2399,4,1,China,Luxury,107443,3.79,5
Tesla,Model Y,2023,Base,55299.28,40.9,150,246.4,6.71,151,380,293,RWD,5,Hatchback,16.3,1605,5,2,US,Mid-range,449181,3.75,4
Ford,E-Transit,2024,Performance,98104.32,80.3,266,224.7,4.19,181,1000,873,RWD,7,Van,69.4,1563,4,1,US,Premium,47356,3.62,4
Volvo,XC90 Recharge,2025,Standard,55877.09,51.9,192,144.5,5.14,166,327,284,FWD,5,Van,65,1577,5,1,Sweden,Mid-range,15994,3.31,5
Volkswagen,ID.3,2024,Base,32753.54,42.3,178,134.1,7.05,139,184,200,RWD,5,Truck,64.6,2243,5,1,Germany,Budget,224478,3.16,3
Ford,Explorer EV,2023,Base,52080.38,54.7,222,99.4,6.86,143,553,507,RWD,5,Van,79.8,1632,4,1,US,Mid-range,72053,3.42,3
Mercedes,EQC,2026,Performance,108052.79,111.2,390,197.2,3.61,196,517,476,AWD,7,Hatchback,36.9,2011,5,2,Germany,Luxury,49733,4.02,5
GM/Chevrolet,Blazer EV,2025,Standard,35979.3,56.1,209,140.3,7.89,124,347,326,FWD,5,SUV,55.3,1752,4,1,US,Mid-range,25503,3.61,4
GM/Chevrolet,Equinox EV,2025,Performance,57051.32,98.6,344,244.5,2.93,200,722,656,RWD,7,SUV,54.9,2113,4,1,US,Mid-range,13660,3.69,4
Tesla,Model Y,2025,Base,109970.08,60,194,200.5,5.74,165,780,711,RWD,5,Coupe,16.8,1709,4,3,US,Luxury,456748,3.5,6
Audi,e-tron,2024,Long Range,92779.16,80,260,134.7,4.62,178,629,553,RWD,7,Hatchback,15.8,1511,4,1,Germany,Premium,22988,3.55,6
Hyundai,i30,2025,Standard,65007.57,44.2,150,125,5.41,174,772,707,FWD,7,Hatchback,15.3,1717,4,1,South Korea,Premium,138781,3.03,4
Mercedes,EQS,2023,Long Range,123138.78,81.2,263,135.2,5.51,174,664,636,AWD,7,Truck,54.4,2004,5,1,Germany,Luxury,65127,3.77,5
BYD,Atto 3,2020,Performance,102787.75,92.6,323,210.6,3.62,194,1000,913,RWD,5,Van,70,1500,4,1,China,Luxury,117639,3.79,5
Audi,e-tron,2025,Base,79195.78,74.7,275,130.6,5.49,162,474,339,FWD,5,Sedan,32.7,1535,4,1,Germany,Premium,62967,3.57,6
Volkswagen,ID.4,2024,Premium,93014.64,70.2,255,75.2,5.06,169,1000,941,AWD,5,Truck,78.3,2324,5,1,Germany,Premium,264436,3.26,4
Tesla,Model S,2023,Premium,131294.36,66,236,230.3,6.29,159,939,845,RWD,5,SUV,52.7,2015,4,2,US,Luxury,154508,3.91,4
Audi,e-tron,2025,Base,84380.71,80,275,135.5,6.41,165,531,499,AWD,7,SUV,58.6,2209,4,1,Germany,Premium,37226,3.53,5
Tesla,Model X,2025,Standard,76635.5,45.2,150,322.5,5.59,175,561,470,RWD,5,SUV,56.8,1709,5,2,US,Premium,167458,3.59,5
BYD,Leaf 50X,2026,Premium,60331.49,43.6,175,101.4,7.08,136,653,581,RWD,5,Coupe,19.4,1729,4,1,China,Mid-range,145412,3.34,4
Toyota,bZ Compact SUV,2024,Standard,62299.25,60.9,213,91.4,5.32,169,673,581,AWD,5,SUV,55.5,2079,3,1,Japan,Mid-range,25820,3.36,4
BMW,iX,2026,Standard,111475.63,44.2,150,88.9,6.23,159,959,885,RWD,5,Van,71.8,1551,4,1,Germany,Luxury,22266,3.33,5
Volkswagen,ID.4,2023,Premium,44868.54,71,254,133.6,7.27,135,370,382,RWD,5,Sedan,18.4,1500,3,2,Germany,Mid-range,264149,3.6,5
BMW,i7,2022,Standard,69932.43,67,249,58.9,7.58,140,419,314,FWD,5,Hatchback,39.1,1591,5,1,Germany,Premium,52868,3.54,7
GM/Chevrolet,Silverado EV,2025,Performance,50051.2,92.1,286,194,3.44,199,568,519,RWD,7,Sedan,33.4,1500,5,2,US,Mid-range,17861,3.54,3
Ford,E-Transit,2026,Performance,48841.01,87.7,333,152.4,4.3,180,369,380,RWD,7,Hatchback,29.2,1844,4,1,US,Mid-range,32288,3.72,4
Ford,Explorer EV,2021,Long Range,77562.36,104.2,348,135.1,5.55,156,881,758,FWD,5,Hatchback,26.2,1721,4,1,US,Premium,27293,3.54,3
Tesla,Cybertruck,2025,Base,69446.79,55.6,196,255.2,6.25,155,473,453,RWD,5,Truck,69.9,2266,4,3,US,Premium,214270,3.74,5
Tesla,Model Y,2023,Base,92950.35,77.5,263,293.4,5.57,166,716,658,RWD,5,SUV,43,2272,5,3,US,Premium,491547,3.57,5
Kia,EV9,2022,Performance,67330.57,77.1,284,154.4,4.17,194,742,621,RWD,5,SUV,50.4,1973,5,2,South Korea,Premium,91349,3.46,4
Volkswagen,ID. Aero,2025,Premium,89383.1,57.7,217,133.5,6.68,143,1000,885,AWD,5,Truck,50.6,3000,4,1,Germany,Premium,222817,3.39,4
Audi,Q4 e-tron,2024,Base,108294.87,84.2,297,86.6,7.49,142,803,720,RWD,5,Truck,63.1,2606,5,1,Germany,Luxury,75960,3.64,6
Tesla,Cybertruck,2025,Premium,35991.9,60.6,218,232.1,6.3,151,240,200,AWD,5,Truck,51.5,2427,4,2,US,Mid-range,169730,3.71,6
Tesla,Model 3,2025,Base,88596.07,45.9,179,329.1,5.04,178,662,638,AWD,7,Van,60.6,1570,5,3,US,Premium,124700,3.61,5
Tesla,Model X,2023,Performance,93392.21,85.7,297,308.7,3.2,200,697,578,AWD,7,SUV,35.4,2085,5,3,US,Premium,138082,3.74,5
Tesla,Model S,2023,Premium,109016.04,46.6,178,263.2,7.52,137,752,688,FWD,5,Hatchback,22.4,1577,5,2,US,Luxury,113179,3.59,5
Tesla,Model Y,2024,Premium,47765.25,45.3,171,305.8,6.25,167,306,318,RWD,5,Sedan,25,1500,5,3,US,Mid-range,423769,3.45,4
GM/Chevrolet,Bolt EUV,2024,Standard,53007.41,82.4,303,146.8,7.4,145,623,533,RWD,5,SUV,44.5,2061,4,1,US,Mid-range,25295,3.72,5
Tesla,Model 3,2024,Long Range,74766.45,76.5,284,257.2,5.48,169,487,482,AWD,7,Sedan,25.1,1610,5,3,US,Premium,155185,4.14,5
Tesla,Model S,2025,Base,43016.55,44.3,159,252.5,5.67,163,327,254,FWD,7,SUV,50.8,1663,5,2,US,Mid-range,118264,3.47,6
Porsche,Taycan,2023,Base,145262.78,70.6,265,329.1,7.46,148,626,548,RWD,5,Hatchback,17.8,1755,4,2,Germany,Luxury,24347,3.55,7
Volkswagen,ID.4,2022,Performance,102466.68,77.6,281,218,4.12,189,1000,886,RWD,7,Truck,65.3,2347,5,1,Germany,Luxury,252835,3.37,5
Ford,Explorer EV,2026,Standard,69136.54,53.2,193,107.3,6.38,161,768,638,FWD,5,SUV,37.7,2080,3,2,US,Premium,61663,3.2,4
GM/Chevrolet,Bolt EV,2025,Premium,93152,60.9,214,82.9,6.96,145,1000,850,RWD,7,Sedan,16.1,1500,5,1,US,Premium,20002,3.74,4
Volkswagen,ID. Aero,2026,Standard,36003.86,51.5,216,88.4,5.81,170,211,201,FWD,7,Hatchback,18,1597,5,1,Germany,Mid-range,241049,3.54,3
Tesla,Model S,2022,Long Range,119080.01,82.3,284,267.4,5.42,159,912,859,RWD,5,Truck,73.1,2165,5,2,US,Luxury,124340,3.98,6
Audi,e-tron GT,2025,Standard,109816.18,60.8,222,113.4,7.53,139,820,730,FWD,5,Sedan,39.6,1514,5,1,Germany,Luxury,73358,3.54,8
Tesla,Model Y,2026,Standard,40006.71,63.9,241,313.7,7.73,131,266,234,FWD,7,Truck,64.2,2397,4,2,US,Mid-range,488644,3.74,4
Tesla,Model Y,2025,Long Range,161112.44,98.8,371,313.4,5.56,163,1000,875,AWD,7,Coupe,33,1641,4,2,US,Luxury,404800,4.22,5
Tesla,Model S,2023,Premium,137659.6,56.7,186,223.5,7.05,142,1000,907,AWD,5,Coupe,27.8,1530,4,2,US,Luxury,167952,3.72,6
Tesla,Model 3,2024,Base,32105.76,54.4,214,223.7,7.58,129,229,203,FWD,5,Coupe,18.8,1625,4,2,US,Budget,245170,3.53,5
Tesla,Model 3,2025,Performance,42441.37,104.2,372,260.9,2.56,200,260,237,FWD,7,Truck,57.3,2532,5,2,US,Mid-range,230471,4.32,5
BMW,iX,2022,Base,61657.41,79.9,273,112.4,5.22,174,295,276,AWD,5,SUV,58.7,1890,5,2,Germany,Mid-range,21575,3.67,6
Kia,EV9,2023,Standard,55591.96,80.5,283,90.4,6.21,166,533,490,AWD,5,SUV,41.6,2004,4,1,South Korea,Mid-range,113695,3.55,5
Toyota,bZ4X,2024,Long Range,55686.21,91.7,324,116.2,4.88,179,560,505,FWD,5,Van,64.2,1570,5,1,Japan,Mid-range,18558,3.6,4
Volkswagen,ID.4,2025,Long Range,47485.93,104.7,349,67.7,5.75,166,429,423,FWD,5,Sedan,17.8,1870,4,1,Germany,Mid-range,243761,3.63,5
Mercedes,EQC,2025,Long Range,162751.1,96.3,344,117,4.35,185,1000,889,AWD,5,Sedan,33.4,1500,5,1,Germany,Luxury,68195,4.28,6
BYD,Dolphin,2020,Standard,70472.75,66.3,241,74.7,7.41,138,730,699,AWD,5,Van,67.2,1731,3,2,China,Premium,199656,3.4,4
Toyota,bZ4X,2024,Base,36014.2,52.5,186,91.3,5.22,177,200,212,FWD,5,Coupe,29.8,1500,4,1,Japan,Mid-range,5267,3.41,3
Tesla,Model Y,2026,Base,41355.45,69.6,247,307.7,5.79,165,287,328,RWD,5,Van,69.8,1501,4,2,US,Mid-range,407336,3.8,4
Fisker,Ronin,2024,Base,65556.39,55.1,194,77.1,6.84,143,472,380,RWD,7,Van,70.6,1500,5,1,US,Premium,2927,3.38,4
Tesla,Model S,2026,Base,88832.48,49.6,157,285.7,7.87,138,597,558,FWD,7,Coupe,24.3,1583,5,2,US,Premium,238605,3.46,4
Audi,Q4 e-tron,2026,Long Range,71435.35,106,377,144.5,5.29,176,416,348,FWD,7,Hatchback,34.1,1500,3,1,Germany,Premium,45647,3.96,6
Hyundai,i30,2025,Standard,41853.99,80.1,318,59.6,6.15,157,390,369,FWD,7,Hatchback,21.8,1688,4,1,South Korea,Mid-range,111448,3.65,4
Volvo,XC90 Recharge,2025,Premium,96813.71,40.6,150,140.7,7.68,123,899,801,FWD,7,Van,63.9,1615,5,2,Sweden,Premium,10606,3.2,3
Tesla,Model Y,2025,Premium,129623.74,54.6,210,270,7.44,132,960,849,AWD,5,Truck,75.6,2337,5,2,US,Luxury,481115,3.49,5
Kia,EV9,2024,Standard,70066.61,55.2,186,110.9,5.46,169,783,737,AWD,7,SUV,36.8,1704,4,2,South Korea,Premium,125092,3.1,3
Fisker,Ocean,2025,Premium,141027,54.1,190,99,6.37,168,1000,877,AWD,7,Sedan,32.1,1626,5,1,US,Luxury,11123,3.38,4
BMW,i4,2025,Premium,113836.67,71.5,253,76.5,6.71,152,1000,842,FWD,7,SUV,37.2,1950,4,1,Germany,Luxury,42535,3.47,8
BMW,i7,2024,Standard,64827.83,42.9,150,89.3,5.19,176,368,312,RWD,5,SUV,38.3,2130,4,2,Germany,Mid-range,69279,3.23,7
Audi,Q6 e-tron,2020,Standard,102595.23,84.1,278,83.1,7.86,128,773,639,FWD,5,Coupe,31.5,1500,3,1,Germany,Luxury,45569,3.67,8
Tesla,Model Y,2022,Premium,74321.01,61.2,226,217.2,7.98,118,555,457,FWD,7,Truck,67.6,2356,5,3,US,Premium,438573,3.82,5
BYD,Qin,2023,Base,51321.91,45.9,150,53.5,6.62,156,523,464,RWD,7,Hatchback,36,1815,5,1,China,Mid-range,135053,3.36,4
